"HPRT, Ctrl1","HPRT, Ctrl1","HPRT, Ctrl1","HPRT, Ctrl1","RBMS3, Ctrl1","RBMS3, Ctrl1","RBMS3, Ctrl1","RBMS3, Ctrl1"
"HPRT, Ctrl2","HPRT, Ctrl2","HPRT, Ctrl2","HPRT, Ctrl2","RBMS3, Ctrl2","RBMS3, Ctrl2","RBMS3, Ctrl2","RBMS3, Ctrl2"
"HPRT, Ctrl3","HPRT, Ctrl3","HPRT, Ctrl3","HPRT, Ctrl3","RBMS3, Ctrl3","RBMS3, Ctrl3","RBMS3, Ctrl3","RBMS3, Ctrl3"
"HPRT, A1","HPRT, A1","HPRT, A1","HPRT, A1","RBMS3, A1","RBMS3, A1","RBMS3, A1","RBMS3, A1"
"HPRT, A2","HPRT, A2","HPRT, A2","HPRT, A2","RBMS3, A2","RBMS3, A2","RBMS3, A2","RBMS3, A2"
"HPRT, A3","HPRT, A3","HPRT, A3","HPRT, A3","RBMS3, A3","RBMS3, A3","RBMS3, A3","RBMS3, A3"
"HPRT, B1","HPRT, B1","HPRT, B1","HPRT, B1","RBMS3, B1","RBMS3, B1","RBMS3, B1","RBMS3, B1"
"HPRT, B2","HPRT, B2","HPRT, B2","HPRT, B2","RBMS3, B2","RBMS3, B2","RBMS3, B2","RBMS3, B2"
"HPRT, C1","HPRT, C1","HPRT, C1","HPRT, C1","RBMS3, C1","RBMS3, C1","RBMS3, C1","RBMS3, C1"
"HPRT, C2","HPRT, C2","HPRT, C2","HPRT, C2","RBMS3, C2","RBMS3, C2","RBMS3, C2","RBMS3, C2"
"HPRT, C3","HPRT, C3","HPRT, C3","HPRT, C3","RBMS3, C3","RBMS3, C3","RBMS3, C3","RBMS3, C3"
"HPRT, Neg Ctrl1","HPRT, Neg Ctrl1","HPRT, Neg Ctrl1","HPRT, Neg Ctrl1","RBMS3, Neg Ctrl1","RBMS3, Neg Ctrl1","RBMS3, Neg Ctrl1","RBMS3, Neg Ctrl1"
"HPRT, Neg Ctrl2","HPRT, Neg Ctrl2","HPRT, Neg Ctrl2","HPRT, Neg Ctrl2","RBMS3, Neg Ctrl2","RBMS3, Neg Ctrl2","RBMS3, Neg Ctrl2","RBMS3, Neg Ctrl2"
"HPRT, Neg Ctrl3","HPRT, Neg Ctrl3","HPRT, Neg Ctrl3","HPRT, Neg Ctrl3","RBMS3, Neg Ctrl3","RBMS3, Neg Ctrl3","RBMS3, Neg Ctrl3","RBMS3, Neg Ctrl3"
"HPRT, Neg A1","HPRT, Neg A1","HPRT, Neg A1","HPRT, Neg A1","RBMS3, Neg A1","RBMS3, Neg A1","RBMS3, Neg A1","RBMS3, Neg A1"
"HPRT, Neg A2","HPRT, Neg A2","HPRT, Neg A2","HPRT, Neg A2","RBMS3, Neg A2","RBMS3, Neg A2","RBMS3, Neg A2","RBMS3, Neg A2"
"HPRT, Neg A3","HPRT, Neg A3","HPRT, Neg A3","HPRT, Neg A3","RBMS3, Neg A3","RBMS3, Neg A3","RBMS3, Neg A3","RBMS3, Neg A3"
"HPRT, Neg B1","HPRT, Neg B1","HPRT, Neg B1","HPRT, Neg B1","RBMS3, Neg B1","RBMS3, Neg B1","RBMS3, Neg B1","RBMS3, Neg B1"
"HPRT, Neg B2","HPRT, Neg B2","HPRT, Neg B2","HPRT, Neg B2","RBMS3, Neg B2","RBMS3, Neg B2","RBMS3, Neg B2","RBMS3, Neg B2"
"HPRT, Neg C1","HPRT, Neg C1","HPRT, Neg C1","HPRT, Neg C1","RBMS3, Neg C1","RBMS3, Neg C1","RBMS3, Neg C1","RBMS3, Neg C1"
"HPRT, Neg C2","HPRT, Neg C2","HPRT, Neg C2","HPRT, Neg C2","RBMS3, Neg C2","RBMS3, Neg C2","RBMS3, Neg C2","RBMS3, Neg C2"
"HPRT, Neg C3","HPRT, Neg C3","HPRT, Neg C3","HPRT, Neg C3","RBMS3, Neg C3","RBMS3, Neg C3","RBMS3, Neg C3","RBMS3, Neg C3"
